ppm,S200538,S200624,S200627,S200725,S200547,S202042,S200796,S200793,S201032,S200610,S200607,S200820,S200071
PPM0.6645,216.5463,309.295,177.7583,478.8472,197.9204,159.6203,400.0589,300.2186,155.7499,144.0973,195.529,226.1605,152.1359
PPM0.6635,191.3424,296.8355,171.9988,450.4354,179.1445,198.161,386.2576,300.3218,199.7529,112.0356,182.2359,230.5442,152.1843
PPM0.6625,211.9258,295.3379,178.4747,449.3222,171.3051,218.5273,389.5403,298.9459,195.785,90.5233,205.1417,217.7041,164.4721
PPM0.6615,201.0873,327.0055,188.9753,440.7448,168.359,213.3951,380.6968,274.8183,188.3893,112.8299,212.4599,211.7847,156.8269
PPM0.6605,195.2636,353.4833,177.9187,439.0376,176.9948,190.3252,376.1497,244.3516,183.4087,112.1558,184.0152,242.0834,148.4163
PPM0.6595,209.127,343.4527,166.2075,465.8181,199.7554,204.3576,375.6086,249.8762,176.9469,121.9401,173.53,233.1599,145.4468
PPM0.6585,202.5139,332.3658,197.866,491.4584,223.4756,191.577,385.2006,262.4166,177.076,113.9274,173.0235,236.0038,151.7971
PPM0.6575,207.6,314.9809,215.1322,477.0669,233.9256,177.3433,371.0269,249.273,191.2033,111.7496,173.3352,235.3983,144.4434
PPM0.6565,204.3101,276.1785,189.4969,459.7162,250.4919,163.5231,375.3068,241.8358,215.0202,121.3063,187.0293,217.4669,134.2804
PPM0.6555,186.4885,255.7352,167.9104,456.5251,242.2121,180.2402,386.264,244.5458,212.3623,122.8162,199.4631,212.2355,137.8668
PPM0.6545,167.6091,286.5658,168.6427,461.4475,215.297,185.252,399.259,229.4303,179.4839,134.4555,194.9468,230.5438,145.9977
PPM0.6535,193.8702,294.2186,167.9981,437.2188,186.4674,187.2627,396.7292,248.0553,178.6775,135.5906,191.9968,236.4301,163.767
PPM0.6525,223.3289,303.7105,169.8409,392.1897,149.8313,204.2597,387.1388,263.0764,192.9945,123.7887,186.0303,221.918,180.6053
PPM0.6515,198.98,294.9978,182.6592,394.6388,156.2825,192.2915,386.2557,275.6798,167.4828,134.173,208.2044,215.6859,148.1316
